'y-axis saved as y
'Q,PG3_59708-1.xye,SigmaYobs,Ycalc,Diff
31.3192516,79.7856197,3.62664132,0,0
31.2941385,78.589642,3.6019557,0,0
31.2690456,79.1664281,3.60907648,0,0
31.2439729,78.0943259,3.58694858,0,0
31.2189205,78.9872126,3.60174031,0,0
31.1938881,79.4848552,3.60689003,0,0
31.1688759,76.9185796,3.55187468,0,0
31.1438838,78.6012535,3.5781727,0,0
31.1189118,78.8458663,3.57745307,0,0
31.0939599,78.8276449,3.56831084,0,0
31.069028,79.9767105,3.5828143,0,0
31.0441162,79.0196662,3.55989733,0,0
31.0192245,80.2904654,3.58258936,0,0
30.9943528,78.4413243,3.5467137,0,0
30.969501,78.3432702,3.54247064,0,0
30.9446693,78.0827829,3.53871187,0,0
30.9198575,78.1159069,3.53275902,0,0
30.8950658,78.6706679,3.53231193,0,0
30.8702939,79.7056389,3.54077295,0,0
30.845542,79.9486873,3.53972151,0,0
30.82081,80.1211548,3.53839771,0,0
30.7960979,79.6046847,3.52576057,0,0
30.7714056,80.5540652,3.54278459,0,0
30.7467332,79.5588066,3.52750602,0,0
30.7220807,78.2688357,3.50198616,0,0
30.697448,78.8328676,3.50220547,0,0
30.6728351,78.2534619,3.4844806,0,0
30.6482419,79.2249516,3.49952496,0,0
30.6236686,80.1911969,3.5144112,0,0
30.5991151,79.1943704,3.48726146,0,0
30.5745813,79.0066456,3.47851911,0,0
30.5500672,79.9244874,3.49577112,0,0
30.5255728,78.5499956,3.4693428,0,0
30.5010981,78.8154038,3.4669777,0,0
30.4766432,78.0067348,3.44212278,0,0
30.4522079,78.1183443,3.44089646,0,0
30.4277922,78.4492463,3.44499783,0,0
30.4033962,80.4457976,3.47451488,0,0
30.3790198,79.512556,3.45190464,0,0
30.3546631,78.5977079,3.43106951,0,0
30.3303259,78.6929171,3.43029379,0,0
30.3060082,78.2090441,3.41955568,0,0
30.2817101,78.2067438,3.41562648,0,0
30.2574316,78.6873583,3.41821102,0,0
30.2331726,78.5800013,3.41438402,0,0
30.2089331,79.6039614,3.42822491,0,0
30.1847131,80.2016613,3.43344925,0,0
30.1605126,76.7523739,3.36744299,0,0
30.1363316,79.1939938,3.40621384,0,0
30.11217,79.0740761,3.39806544,0,0
30.0880278,79.9544793,3.40828238,0,0
30.0639051,78.3880466,3.3772895,0,0
30.0398017,79.0160996,3.38601868,0,0
30.0157177,78.6254348,3.37506739,0,0
29.9916531,80.4517443,3.40248624,0,0
29.9676079,79.6973552,3.38702927,0,0
29.9435819,79.0443692,3.37123592,0,0
29.9195754,79.7830524,3.3795308,0,0
29.8955881,79.5585538,3.37341019,0,0
29.8716201,77.6047131,3.33808382,0,0
29.8476713,78.6551378,3.34958752,0,0
29.8237419,79.3949454,3.35527827,0,0
29.7998317,78.4402297,3.33624861,0,0
29.7759407,78.8716911,3.34459359,0,0
29.7520689,77.3283105,3.3169362,0,0
29.7282164,79.2072082,3.34621687,0,0
29.704383,77.3851001,3.30881216,0,0
29.6805687,79.1895101,3.33106594,0,0
29.6567736,78.6539583,3.31696936,0,0
29.6329977,80.5163171,3.34486729,0,0
29.6092409,79.6927197,3.32509602,0,0
29.5855032,79.3665252,3.31434536,0,0
29.5617845,78.3675131,3.29756547,0,0
29.5380849,79.4276392,3.31647325,0,0
29.5144045,78.5677154,3.29922079,0,0
29.490743,77.611295,3.27757222,0,0
29.4671006,78.7281588,3.29265204,0,0
29.4434772,78.4999143,3.28481814,0,0
29.4198727,79.6566202,3.29896373,0,0
29.3962873,78.3620776,3.27526014,0,0
29.3727208,78.8512966,3.28091714,0,0
29.3491733,76.9561862,3.24307388,0,0
29.3256447,80.238585,3.29379269,0,0
29.302135,79.7664545,3.2814059,0,0
29.2786443,79.1862601,3.26651174,0,0
29.2551724,80.1058645,3.27810049,0,0
29.2317193,78.1350231,3.24278433,0,0
29.2082852,79.9005391,3.27205942,0,0
29.1848699,77.7417337,3.2324768,0,0
29.1614734,79.1803532,3.25059066,0,0
29.1380958,78.8888518,3.23952242,0,0
29.1147369,80.3801143,3.25967855,0,0
29.0913968,78.0138545,3.21610405,0,0
29.0680755,79.627322,3.24050536,0,0
29.0447729,78.403309,3.21812933,0,0
29.0214891,78.4605017,3.21655965,0,0
28.998224,79.3716971,3.22685613,0,0
28.9749776,80.7071882,3.24233365,0,0
28.9517499,78.7472592,3.2057679,0,0
28.9285408,77.5560675,3.18583463,0,0
28.9053505,78.2106121,3.19262465,0,0
28.8821788,78.2963347,3.18884286,0,0
28.8590256,79.3617712,3.20268647,0,0
28.8358912,78.1447915,3.17935126,0,0
28.8127753,78.832664,3.18686487,0,0
28.789678,78.4647345,3.17813866,0,0
28.7665992,79.5757035,3.19442366,0,0
28.7435391,78.8694833,3.17932653,0,0
28.7204975,79.5367779,3.18820482,0,0
28.6974743,77.9704433,3.15954796,0,0
28.6744698,77.4742166,3.14926216,0,0
28.6514837,78.0307309,3.15712364,0,0
28.6285161,78.5280503,3.16258748,0,0
28.6055669,78.9336607,3.16580643,0,0
28.5826362,78.9834175,3.16268633,0,0
28.5597239,78.0188557,3.14316132,0,0
28.5368301,79.2065629,3.15899084,0,0
28.5139547,78.7323149,3.14788839,0,0
28.4910976,77.9613379,3.13071939,0,0
28.468259,79.3565662,3.14916981,0,0
28.4454386,77.9566864,3.12506501,0,0
28.4226367,78.1346703,3.12578906,0,0
28.3998531,79.0057843,3.13582085,0,0
28.3770877,77.9876246,3.11515143,0,0
28.3543407,78.6025789,3.12575757,0,0
28.331612,78.6625284,3.12433792,0,0
28.3089016,80.4972923,3.14726762,0,0
28.2862094,78.9083435,3.1173026,0,0
28.2635354,79.9935385,3.1345451,0,0
28.2408797,80.2646919,3.13629092,0,0
28.2182422,79.2119127,3.11483231,0,0
28.1956229,79.9924747,3.12384607,0,0
28.1730217,79.3835216,3.11204619,0,0
28.1504388,80.0737033,3.12378096,0,0
28.127874,78.8401908,3.09878773,0,0
28.1053273,79.1431167,3.09659828,0,0
28.0827988,79.6040244,3.10126795,0,0
28.0602884,79.1195482,3.09127074,0,0
28.037796,79.0409713,3.08791765,0,0
28.0153218,77.6706676,3.06115228,0,0
27.9928656,78.4547374,3.06561907,0,0
27.9704275,79.6732897,3.08189902,0,0
27.9480074,79.6509004,3.08147942,0,0
27.9256053,78.9535046,3.06679956,0,0
27.9032213,77.0379549,3.03402156,0,0
27.8808552,79.6641164,3.0732013,0,0
27.8585071,78.0858294,3.04649019,0,0
27.836177,78.7664856,3.05269814,0,0
