'y-axis saved as y
'Q,PG3_59701-1.xye,SigmaYobs,Ycalc,Diff
33.2882196,79.8345974,4.00454094,0,0
33.2615223,79.5593805,3.99916489,0,0
33.2348465,80.5883824,4.01666129,0,0
33.2081922,78.4505584,3.96571468,0,0
33.1815593,77.6216901,3.94179191,0,0
33.1549478,79.8308478,3.98036476,0,0
33.1283578,78.8484382,3.95789274,0,0
33.1017891,79.2101841,3.95856919,0,0
33.0752419,78.6463088,3.93926191,0,0
33.048716,78.9584155,3.94007899,0,0
33.0222114,78.5320347,3.92888672,0,0
32.9957283,80.5536148,3.96777816,0,0
32.9692663,79.5357681,3.94094036,0,0
32.9428257,81.42577,3.97387539,0,0
32.9164063,79.6080621,3.9348718,0,0
32.8900083,79.0837173,3.92092383,0,0
32.8636314,79.5588592,3.92598495,0,0
32.8372758,80.3923634,3.9377937,0,0
32.8109414,80.7596608,3.94144411,0,0
32.7846282,79.2096703,3.90383006,0,0
32.7583362,79.912817,3.91137786,0,0
32.7320652,77.8579559,3.86423105,0,0
32.7058155,79.514786,3.89249705,0,0
32.6795869,81.0979768,3.91886499,0,0
32.6533794,79.9362567,3.89039723,0,0
32.627193,78.9529049,3.86611108,0,0
32.6010276,78.7550333,3.85584844,0,0
32.5748833,78.976987,3.85663266,0,0
32.54876,80.6041266,3.8841845,0,0
32.5226577,80.871149,3.88339143,0,0
32.4965765,78.9752946,3.84264322,0,0
32.4705163,80.509781,3.86741463,0,0
32.4444769,78.7101274,3.82670089,0,0
32.4184586,79.3544844,3.83120369,0,0
32.3924612,79.1683226,3.82246096,0,0
32.3664847,80.1049385,3.834724,0,0
32.3405291,80.4709816,3.83573949,0,0
32.3145944,80.2988039,3.8288592,0,0
32.2886806,80.0589729,3.81861093,0,0
32.2627876,79.5007208,3.80402358,0,0
32.2369155,78.8591381,3.78942565,0,0
32.2110641,79.1184122,3.79067987,0,0
32.1852336,80.484702,3.80965877,0,0
32.1594238,79.2153165,3.77833178,0,0
32.1336348,78.9792787,3.7731207,0,0
32.1078666,79.8740607,3.78899218,0,0
32.0821191,78.8997979,3.76239038,0,0
32.0563923,79.935094,3.77454163,0,0
32.0306862,79.9360891,3.77320097,0,0
32.0050008,79.5599607,3.7605858,0,0
31.979336,79.2685576,3.74832888,0,0
31.953692,79.929349,3.75634918,0,0
31.9280685,79.8055386,3.75251871,0,0
31.9024656,77.7686532,3.71258994,0,0
31.8768834,79.2419378,3.73739399,0,0
31.8513217,79.0451905,3.72870627,0,0
31.8257806,79.9140688,3.73811397,0,0
31.80026,78.5912057,3.70636712,0,0
31.77476,79.0243376,3.70409505,0,0
31.7492805,79.1914042,3.70043513,0,0
31.7238215,80.1668538,3.71691707,0,0
31.6983829,79.416082,3.70015385,0,0
31.6729649,77.8951177,3.67017699,0,0
31.6475673,78.6813331,3.68281537,0,0
31.6221901,78.0780417,3.66684844,0,0
31.5968334,78.7303059,3.67399562,0,0
