'y-axis saved as y
'Q,BL21Robot0305_FY25c1-2025-01-14-1420_scan2.xye,SigmaYobs,Ycalc,Diff
12.8520428,6.64756771,2.57828775,0,0
12.8525432,6.38088794,2.52604195,0,0
12.8530436,6.4185827,2.53349219,0,0
12.853544,6.49546528,2.54862027,0,0
12.8540443,6.51482332,2.55241519,0,0
12.8545446,6.35364036,2.52064285,0,0
12.8550449,6.53779651,2.55691152,0,0
12.8555452,6.50866573,2.55120868,0,0
12.8560454,6.42902109,2.53555144,0,0
12.8565457,6.30402585,2.51078192,0,0
12.8570458,6.44189949,2.53808973,0,0
12.857546,6.40686456,2.53117849,0,0
12.8580462,6.43431848,2.53659584,0,0
12.8585463,6.4201243,2.53379642,0,0
12.8590464,6.42540191,2.53483765,0,0
12.8595464,6.32413675,2.51478364,0,0
12.8600465,6.46653022,2.54293732,0,0
12.8605465,6.39918833,2.5296617,0,0
12.8610465,6.47188428,2.54398983,0,0
12.8615465,6.47763148,2.54511915,0,0
12.8620464,6.40084045,2.52998823,0,0
12.8625463,6.38094923,2.52605408,0,0
12.8630462,6.38822007,2.52749284,0,0
12.8635461,6.53624994,2.55660907,0,0
12.864046,6.30055321,2.51009028,0,0
12.8645458,6.49814405,2.54914575,0,0
12.8650456,6.33307084,2.51655933,0,0
12.8655454,6.40984921,2.531768,0,0
12.8660451,6.39318072,2.52847399,0,0
12.8665448,6.47274416,2.54415883,0,0
12.8670445,6.54133576,2.55760352,0,0
12.8675442,6.48479709,2.54652648,0,0
12.8680439,6.45670283,2.5410043,0,0
12.8685435,6.38663425,2.52717911,0,0
12.8690431,6.28838322,2.50766489,0,0
12.8695427,6.33561271,2.5170643,0,0
12.8700422,6.42021682,2.53381468,0,0
12.8705418,6.46779273,2.54318555,0,0
12.8710413,6.4015948,2.53013731,0,0
12.8715407,6.29273903,2.50853324,0,0
12.8720402,6.50930907,2.55133476,0,0
12.8725396,6.49994611,2.54949919,0,0
12.873039,6.33827151,2.5175924,0,0
12.8735384,6.43922278,2.53756237,0,0
12.8740378,6.37036981,2.52395915,0,0
12.8745371,6.50242932,2.54998614,0,0
12.8750364,6.39653235,2.52913668,0,0
12.8755357,6.44928772,2.53954479,0,0
12.876035,6.44502759,2.53870589,0,0
12.8765342,6.33230992,2.51640814,0,0
12.8770334,6.49660714,2.54884428,0,0
12.8775326,6.51274278,2.5520076,0,0
12.8780318,6.34225729,2.51838387,0,0
12.8785309,6.41922255,2.53361847,0,0
12.87903,6.45646643,2.54095778,0,0
12.8795291,6.4589021,2.54143702,0,0
12.8800282,6.43419396,2.5365713,0,0
12.8805272,6.38724636,2.52730021,0,0
12.8810262,6.47679046,2.54495392,0,0
12.8815252,6.56285857,2.56180768,0,0
12.8820242,6.38490855,2.52683766,0,0
12.8825231,6.49051709,2.54764933,0,0
12.8830221,6.40168112,2.53015437,0,0
12.8835209,6.30488325,2.51095266,0,0
12.8840198,6.45355278,2.54038438,0,0
12.8845187,6.47019142,2.5436571,0,0
12.8850175,6.43806959,2.53733513,0,0
12.8855163,6.43482997,2.53669666,0,0
12.886015,6.5891758,2.566939,0,0
12.8865138,6.51936374,2.55330448,0,0
12.8870125,6.39956285,2.52973573,0,0
12.8875112,6.57768105,2.56469902,0,0
12.8880099,6.56260301,2.5617578,0,0
12.8885085,6.43305534,2.53634685,0,0
12.8890071,6.56195705,2.56163172,0,0
12.8895057,6.52759183,2.55491523,0,0
12.8900043,6.42850668,2.53545,0,0
12.8905029,6.39001283,2.52784747,0,0
12.8910014,6.38526519,2.52690823,0,0
12.8914999,6.55876521,2.56100863,0,0
12.8919984,6.41306036,2.53240209,0,0
12.8924968,6.50033303,2.54957507,0,0
12.8929952,6.46145887,2.54193998,0,0
12.8934936,6.46397578,2.54243501,0,0
12.893992,6.49561156,2.54864897,0,0
12.8944904,6.43485376,2.53670135,0,0
12.8949887,6.4630652,2.54225593,0,0
12.895487,6.47032478,2.54368331,0,0
12.8959853,6.36093024,2.52208847,0,0
12.8964835,6.42695495,2.53514397,0,0
12.8969818,6.60190389,2.56941703,0,0
12.89748,6.15668461,2.48126673,0,0
12.8979782,6.47858714,2.54530688,0,0
12.8984763,6.49309767,2.54815574,0,0
12.8989744,6.48673139,2.54690624,0,0
12.8994726,6.46220406,2.54208656,0,0
12.8999706,6.33124973,2.51619747,0,0
12.9004687,6.52855973,2.55510464,0,0
12.9009667,6.37971716,2.5258102,0,0
12.9014647,6.48943423,2.5474368,0,0
12.9019627,6.47637602,2.5448725,0,0
12.9024607,6.46989768,2.54359936,0,0
12.9029586,6.43721346,2.53716642,0,0
12.9034565,6.41648387,2.53307794,0,0
12.9039544,6.42113195,2.53399525,0,0
12.9044523,6.51233379,2.55192746,0,0
12.9049501,6.48900064,2.54735169,0,0
12.9054479,6.4187341,2.53352207,0,0
12.9059457,6.41285782,2.5323621,0,0
12.9064435,6.59519517,2.56811121,0,0
12.9069412,6.45569008,2.54080501,0,0
12.9074389,6.52508352,2.5544243,0,0
12.9079366,6.47461298,2.54452608,0,0
12.9084343,6.38902791,2.52765265,0,0
12.9089319,6.56528047,2.56228033,0,0
12.9094295,6.49047601,2.54764126,0,0
12.9099271,6.4601871,2.54168981,0,0
12.9104247,6.36835745,2.52356047,0,0
12.9109222,6.44622593,2.53894189,0,0
12.9114198,6.46189562,2.54202589,0,0
12.9119173,6.45755719,2.5411724,0,0
12.9124147,6.41713025,2.53320553,0,0
12.9129122,6.36585609,2.52306482,0,0
12.9134096,6.42299597,2.53436303,0,0
12.913907,6.32554163,2.51506295,0,0
12.9144044,6.48489938,2.54654656,0,0
12.9149017,6.41847558,2.53347105,0,0
12.915399,6.40616537,2.53104037,0,0
12.9158963,6.33591358,2.51712407,0,0
12.9163936,6.34505101,2.51893847,0,0
12.9168908,6.32347548,2.51465216,0,0
12.9173881,6.38797809,2.52744497,0,0
12.9178853,6.4149859,2.53278225,0,0
12.9183824,6.34079815,2.51809415,0,0
12.9188796,6.48281427,2.54613713,0,0
12.9193767,6.41032998,2.53186295,0,0
12.9198738,6.39049271,2.52794239,0,0
12.9203709,6.42078554,2.5339269,0,0
12.9208679,6.34653271,2.51923256,0,0
12.921365,6.36496382,2.52288799,0,0
12.921862,6.42048775,2.53386814,0,0
12.9223589,6.45218362,2.54011488,0,0
12.9228559,6.32377285,2.51471128,0,0
12.9233528,6.29345445,2.50867584,0,0
12.9238497,6.42807561,2.53536499,0,0
12.9243466,6.42539795,2.53483687,0,0
12.9248435,6.41357218,2.53250315,0,0
12.9253403,6.5218035,2.5537822,0,0
12.9258371,6.37100525,2.52408503,0,0
12.9263339,6.43380092,2.53649382,0,0
12.9268306,6.36413955,2.52272463,0,0
12.9273273,6.38611052,2.52707549,0,0
12.9278241,6.44380607,2.5384653,0,0
12.9283207,6.4727563,2.54416122,0,0
12.9288174,6.30860731,2.51169411,0,0
12.929314,6.28865129,2.50771834,0,0
12.9298106,6.30045693,2.5100711,0,0
12.9303072,6.52044529,2.55351626,0,0
12.9308038,6.50860971,2.5511977,0,0
12.9313003,6.40863549,2.53152829,0,0
12.9317968,6.3449929,2.51892693,0,0
12.9322933,6.41865049,2.53350557,0,0
12.9327898,6.52692337,2.55478441,0,0
12.9332862,6.46691941,2.54301384,0,0
12.9337826,6.31530113,2.51302629,0,0
12.934279,6.58348338,2.56582996,0,0
12.9347754,6.37076178,2.5240368,0,0
12.9352717,6.37666007,2.52520496,0,0
12.935768,6.53496388,2.55635754,0,0
12.9362643,6.51771443,2.55298148,0,0
12.9367606,6.4097354,2.53174552,0,0
12.9372568,6.30735797,2.51144539,0,0
12.937753,6.38637367,2.52712755,0,0
12.9382492,6.31676649,2.51331782,0,0
12.9387454,6.44897622,2.53948345,0,0
12.9392415,6.30720048,2.51141404,0,0
12.9397376,6.46538771,2.54271267,0,0
12.9402337,6.4298342,2.53571177,0,0
12.9407298,6.48045396,2.54567358,0,0
12.9412258,6.56410293,2.56205053,0,0
12.9417218,6.39154667,2.52815084,0,0
12.9422178,6.46986975,2.54359387,0,0
12.9427138,6.44285178,2.53827733,0,0
12.9432097,6.3831234,2.52648439,0,0
12.9437056,6.405561,2.53092098,0,0
12.9442015,6.43946844,2.53761077,0,0
12.9446974,6.41842133,2.53346035,0,0
12.9451933,6.4427838,2.53826393,0,0
12.9456891,6.40743981,2.53129212,0,0
12.9461849,6.47330865,2.54426977,0,0
12.9466806,6.4340998,2.53655274,0,0
12.9471764,6.26411091,2.50282059,0,0
12.9476721,6.41487849,2.53276104,0,0
12.9481678,6.43476582,2.53668402,0,0
12.9486635,6.56259379,2.561756,0,0
12.9491591,6.3638882,2.52267481,0,0
12.9496547,6.49849808,2.54921519,0,0
12.9501503,6.44647514,2.53899097,0,0
12.9506459,6.57104019,2.56340402,0,0
12.9511415,6.4175275,2.53328394,0,0
12.951637,6.56602554,2.56242571,0,0
12.9521325,6.38907672,2.5276623,0,0
12.952628,6.43572738,2.53687355,0,0
12.9531234,6.34939036,2.51979967,0,0
12.9536188,6.48637892,2.54683704,0,0
12.9541142,6.28833601,2.50765548,0,0
12.9546096,6.50884232,2.55124329,0,0
12.955105,6.42813957,2.5353776,0,0
12.9556003,6.45494467,2.54065831,0,0
12.9560956,6.45066439,2.53981582,0,0
12.9565909,6.42643558,2.53504153,0,0
12.9570861,6.36260039,2.52241955,0,0
12.9575813,6.39620588,2.52907214,0,0
12.9580765,6.6088819,2.57077457,0,0
12.9585717,6.47148087,2.54391055,0,0
12.9590669,6.45607994,2.54088172,0,0
12.959562,6.47482955,2.54456864,0,0
12.9600571,6.4158684,2.53295646,0,0
12.9605522,6.30205874,2.51039016,0,0
12.9610472,6.47716551,2.5450276,0,0
12.9615423,6.44972514,2.53963091,0,0
12.9620373,6.46780463,2.54318789,0,0
12.9625323,6.39093905,2.52803067,0,0
12.9630272,6.5162965,2.55270376,0,0
12.9635222,6.36601228,2.52309577,0,0
12.9640171,6.40805539,2.53141371,0,0
12.9645119,6.5472047,2.55875061,0,0
12.9650068,6.46487455,2.54261176,0,0
12.9655016,6.43142259,2.53602496,0,0
12.9659964,6.48390979,2.54635225,0,0
12.9664912,6.3969719,2.52922358,0,0
12.966986,6.6041186,2.56984797,0,0
12.9674807,6.40503539,2.53081714,0,0
12.9679754,6.33871357,2.5176802,0,0
12.9684701,6.45476302,2.54062257,0,0
12.9689648,6.4101364,2.53182472,0,0
12.9694594,6.34774485,2.51947313,0,0
12.969954,6.38490023,2.52683601,0,0
12.9704486,6.62562604,2.57402915,0,0
12.9709432,6.44962965,2.53961211,0,0
12.9714377,6.31677275,2.51331907,0,0
12.9719322,6.46757446,2.54314263,0,0
12.9724267,6.36786973,2.52346384,0,0
12.9729212,6.50937701,2.55134808,0,0
12.9734156,6.62678836,2.57425491,0,0
12.97391,6.35679947,2.52126942,0,0
12.9744044,6.45689613,2.54104233,0,0
12.9748988,6.38551355,2.52695737,0,0
12.9753931,6.39925052,2.529674,0,0
