'y-axis saved as y
'Q,BL21Robot0303_FY25c1-2025-01-14-1346_scan2.xye,SigmaYobs,Ycalc,Diff
2.62705227,10.3695636,3.22018068,10.6980554,-0.328491824
2.62779507,10.8844803,3.29916357,10.8325043,0.0519759534
2.62853787,10.804919,3.28708366,10.981585,-0.176666003
2.62928066,11.1968531,3.34616992,11.1474348,0.0494183169
2.63002344,11.0843623,3.3293186,11.3326218,-0.248259466
2.63076622,11.6562637,3.41412708,11.5402678,0.115995861
2.63150899,12.2176563,3.49537642,11.7742151,0.443441184
2.63225176,12.3455574,3.51362454,12.0392483,0.306309092
2.63299453,12.806026,3.57855082,12.3413855,0.464640456
2.63373729,13.0065987,3.60646623,12.688247,0.318351704
2.63448004,13.8816567,3.72580953,13.089503,0.792153671
2.63522279,14.1866076,3.76651133,13.5573904,0.629217242
2.63596553,15.0163508,3.87509365,14.1072658,0.90908496
2.63670827,15.4763123,3.93399445,14.7581443,0.718167977
2.63745101,16.1917468,4.02389697,15.5331426,0.658604155
2.63819374,17.2338419,4.15136627,16.4597294,0.774112477
2.63893646,18.0044144,4.2431609,17.5696605,0.434753946
2.63967918,19.5287073,4.4191297,18.898454,0.630253302
2.6404219,20.9129,4.57306244,20.4842034,0.428696599
2.6411646,22.7868648,4.77355893,22.3653846,0.42148019
2.64190731,24.1244261,4.91166225,24.5770105,-0.452584414
2.64265001,26.4079717,5.13886872,27.1439301,-0.735958391
2.6433927,28.7873881,5.36538798,30.0692773,-1.28188917
2.64413539,31.7100935,5.63117159,33.3154799,-1.60538636
2.64487807,35.3587544,5.94632276,36.7762603,-1.41750587
2.64562075,38.9842139,6.24373397,40.2437195,-1.25950559
2.64636343,42.9965406,6.55717474,43.3879842,-0.391443576
2.6471061,46.6705675,6.83158601,45.7836066,0.886960935
2.64784876,48.4006139,6.95705497,47.0136317,1.38698217
2.64859142,47.8944158,6.92057916,46.8294899,1.06492593
2.64933407,46.0019396,6.78247297,45.2690913,0.732848272
2.65007672,41.6704214,6.45526308,42.6378051,-0.967383703
2.65081937,37.8125635,6.1491921,39.3686628,-1.55609928
2.651562,34.0472252,5.83500002,35.8697557,-1.8225305
2.65230464,30.5265897,5.5250873,32.4404919,-1.91390224
2.65304727,28.1281419,5.30359708,29.26056,-1.13241813
2.65378989,25.7040845,5.06991957,26.4160462,-0.711961681
2.65453251,23.599881,4.85797087,23.9320975,-0.332216454
2.65527512,21.5660963,4.64393113,21.7987211,-0.232624759
2.65601773,20.5345395,4.53150522,19.9876828,0.546856691
2.65676033,18.8861308,4.34581762,18.4626176,0.423513217
2.65750293,17.5850905,4.19345806,17.1848647,0.400225835
2.65824552,16.6481707,4.08021699,16.1168149,0.531355769
2.65898811,16.0288843,4.00360891,15.2238076,0.805076678
2.6597307,15.1357433,3.89046826,14.4751279,0.660615362
2.66047327,14.5893102,3.81959555,13.8444012,0.744909034
2.66121585,14.0713466,3.75117936,13.3095665,0.761780128
2.66195841,13.3438028,3.65291702,12.8525682,0.491234608
2.66270098,13.2209132,3.63605737,12.4588798,0.76203336
2.66344353,12.6761977,3.56036483,12.1169559,0.559241766
2.66418609,12.2755702,3.50365098,11.8176835,0.457886675
2.66492864,11.8141652,3.43717402,11.553881,0.260284212
2.66567118,11.4148502,3.37858702,11.3198692,0.0949809608
2.66641372,11.0523664,3.32450995,11.1111231,-0.0587566697
2.66715625,11.0819754,3.3289601,10.9239985,0.157976942
2.66789877,10.9819889,3.31390841,10.7555254,0.226463525
2.6686413,10.7340342,3.2762836,10.6032533,0.130780899
2.66938381,10.5403628,3.24659249,10.4651371,0.0752256926
2.67012633,10.3315557,3.21427374,10.3394527,-0.00789703002
2.67086883,10.3409005,3.21572706,10.2247343,0.116166179
2.67161133,10.0324178,3.16739922,10.1197267,-0.08730891
2.67235383,9.94656627,3.15381773,10.0233488,-0.0767824992
2.67309632,9.8349672,3.13607513,9.93466464,-0.0996974385
2.67383881,9.68007593,3.11128204,9.85286072,-0.172784786
2.67458129,9.47551043,3.0782317,9.77722698,-0.301716551
2.67532377,9.34098984,3.0563033,9.70714161,-0.366151775
2.67606624,9.55686976,3.09141873,9.64205844,-0.0851886814
2.67680871,9.40792336,3.06723383,9.581496,-0.173572637
2.67755117,9.28033317,3.04636393,9.52502885,-0.244695682
2.67829362,9.1499964,3.0248961,9.47227998,-0.322283579
2.67903607,9.39808268,3.06562925,9.42291437,-0.024831688
2.67977852,9.43683524,3.07194323,9.37663359,0.0602016548
2.68052096,9.21885233,3.0362563,9.33317113,-0.114318805
2.6812634,9.2643839,3.04374504,9.29228848,-0.0279045798
2.68200583,9.31648642,3.05229199,9.25377163,0.0627147904
2.68274825,9.25085103,3.04152117,9.21742819,0.0334228368
2.68349067,9.05193755,3.00864381,9.18308484,-0.131147289
2.68423309,8.91733548,2.9861908,9.15058509,-0.233249608
2.6849755,8.87195757,2.97858315,9.11978741,-0.247829835
2.6857179,8.89616625,2.98264417,9.09056353,-0.194397277
2.6864603,9.08304448,3.01380896,9.06279701,0.0202474725
2.6872027,8.93085718,2.98845398,9.03638195,-0.105524765
2.68794509,9.09937882,3.01651766,9.01122186,0.0881569557
2.68868747,8.84739468,2.97445704,8.98722873,-0.139834053
2.68942985,8.71922029,2.95283259,8.9643221,-0.245101805
2.69017222,8.90566409,2.98423593,8.94242831,-0.03676422
